Time_s   Intensity_dB
106.120000   65.869906
106.130667   63.668982
106.141333   62.608763
106.152000   61.626236
106.162667   60.830545
106.173333   60.314626
106.184000   58.693214
106.194667   58.182803
106.205333   62.404048
106.216000   67.757024
106.226667   71.605629
106.237333   72.981922
106.248000   71.942838
106.258667   69.642241
106.269333   68.064366
106.280000   67.810147
106.290667   69.235567
106.301333   72.662724
106.312000   75.855473
106.322667   76.938293
106.333333   76.160126
106.344000   75.543361
106.354667   75.230126
106.365333   74.714794
106.376000   74.757656
106.386667   74.843521
106.397333   74.455988
106.408000   73.852177
106.418667   73.074359
106.429333   72.106655
106.440000   70.235386
106.450667   66.169812
106.461333   59.963261
106.472000   56.199265
106.482667   54.613586
106.493333   53.047060
106.504000   51.860986
106.514667   53.052841
106.525333   57.519253
106.536000   61.642439
106.546667   64.054124
106.557333   64.442457
106.568000   62.883338
106.578667   61.056667
106.589333   61.036575
106.600000   60.596604
106.610667   59.127543
106.621333   58.627020
106.632000   59.004755
106.642667   59.464786
106.653333   60.066612
106.664000   59.785488
106.674667   57.974445
106.685333   58.220298
106.696000   62.893428
106.706667   65.160045
106.717333   64.715703
106.728000   63.175120
106.738667   60.836097
106.749333   57.003938
106.760000   52.955247
106.770667   51.692277
106.781333   51.097092
106.792000   50.324730
106.802667   49.823320
106.813333   48.430953
106.824000   48.475634
106.834667   53.613083
106.845333   60.672265
106.856000   65.985448
106.866667   68.717394
106.877333   69.083820
106.888000   67.442116
106.898667   63.984968
106.909333   61.056182
106.920000   61.237497
106.930667   60.921484
106.941333   59.944129
106.952000   59.681404
106.962667   60.003885
106.973333   60.163339
106.984000   59.421149
106.994667   59.801754
107.005333   61.780525
107.016000   63.488452
107.026667   64.226158
107.037333   63.753064
107.048000   62.675651
107.058667   61.706563
107.069333   60.916145
107.080000   60.151994
107.090667   59.205236
107.101333   57.880216
107.112000   56.673593
107.122667   55.830428
107.133333   55.354526
107.144000   55.008841
107.154667   56.477104
107.165333   59.852554
107.176000   63.088839
107.186667   65.716184
107.197333   68.387599
107.208000   71.225180
107.218667   73.085414
107.229333   73.909015
107.240000   74.288381
107.250667   74.559919
107.261333   74.656716
107.272000   74.356537
107.282667   73.751925
107.293333   73.054178
107.304000   72.618915
107.314667   72.062229
107.325333   71.250729
107.336000   70.698890
107.346667   69.976933
107.357333   68.809425
107.368000   67.967794
107.378667   67.914005
107.389333   68.147236
107.400000   68.205216
107.410667   68.800332
107.421333   69.303897
107.432000   68.597570
107.442667   67.378369
107.453333   66.162071
107.464000   64.158183
107.474667   61.605650
107.485333   58.967226
107.496000   56.802814
107.506667   55.315554
107.517333   54.251342
107.528000   53.604462
107.538667   54.353830
107.549333   55.950401
107.560000   57.582841
107.570667   58.813650
107.581333   59.758475
107.592000   60.111673
107.602667   59.196580
107.613333   58.004697
107.624000   58.837366
107.634667   59.964704
107.645333   60.607951
107.656000   60.505412
107.666667   59.434403
107.677333   58.538827
107.688000   57.998992
107.698667   57.577564
107.709333   57.086190
107.720000   56.038328
107.730667   54.708267
107.741333   52.458429
107.752000   48.887896
107.762667   44.730601
107.773333   41.166575
107.784000   39.683523
107.794667   44.715995
107.805333   53.231916
107.816000   60.484369
107.826667   65.539260
107.837333   68.174624
107.848000   68.278479
107.858667   65.824570
107.869333   61.302060
107.880000   56.922439
107.890667   53.880968
107.901333   51.743207
107.912000   50.718760
107.922667   49.872448
107.933333   53.285252
107.944000   59.083448
107.954667   63.259048
107.965333   65.144076
107.976000   65.554913
107.986667   66.020254
107.997333   67.348477
108.008000   69.041039
108.018667   70.517774
108.029333   71.724796
108.040000   72.677471
108.050667   73.496413
108.061333   74.052072
108.072000   74.065642
108.082667   73.854912
108.093333   73.297860
108.104000   71.623091
108.114667   69.229484
108.125333   66.122037
108.136000   61.716013
108.146667   58.363709
108.157333   57.942761
108.168000   60.192087
108.178667   62.351028
108.189333   63.027901
108.200000   62.184075
108.210667   60.512880
108.221333   59.062750
108.232000   57.020387
108.242667   53.713285
108.253333   52.026596
108.264000   51.291191
108.274667   48.590313
108.285333   45.939078
108.296000   44.077581
108.306667   41.769323
108.317333   41.274680
108.328000   44.254518
108.338667   49.273476
108.349333   52.001561
108.360000   52.157864
108.370667   50.035920
108.381333   45.800688
108.392000   39.678707
108.402667   34.610090
108.413333   35.043266
108.424000   46.499817
108.434667   54.944423
108.445333   58.631107
108.456000   58.785929
108.466667   57.537189
108.477333   58.601847
108.488000   61.758851
108.498667   64.292395
108.509333   66.039089
108.520000   67.826709
108.530667   69.974879
108.541333   71.843799
108.552000   72.679450
108.562667   72.541826
108.573333   71.705183
108.584000   70.468070
108.594667   68.782624
108.605333   65.896220
108.616000   62.542584
108.626667   60.285022
108.637333   57.242890
108.648000   52.552476
108.658667   48.500578
108.669333   45.802630
108.680000   43.561698
108.690667   42.311088
108.701333   42.216083
108.712000   42.291919
108.722667   42.260695
108.733333   43.466538
108.744000   48.557126
108.754667   53.839125
108.765333   57.463451
108.776000   60.114769
108.786667   61.518232
108.797333   61.018769
108.808000   58.582106
108.818667   54.285399
108.829333   48.174014
108.840000   41.865311
108.850667   39.952816
108.861333   40.050216
108.872000   39.583344
108.882667   46.889179
108.893333   55.142201
108.904000   60.354133
108.914667   62.880221
108.925333   63.447305
108.936000   62.840727
108.946667   61.090545
108.957333   58.156876
108.968000   55.365514
108.978667   53.567587
108.989333   51.263922
109.000000   47.733787
109.010667   44.160067
109.021333   42.424734
109.032000   44.557026
109.042667   48.949531
109.053333   53.224163
109.064000   56.506631
109.074667   57.982486
109.085333   57.342936
109.096000   55.530040
109.106667   53.456721
109.117333   50.600938
109.128000   46.658435
109.138667   42.382202
109.149333   42.692355
