video,laughter_start,laughter_end,laughter_value,start_segment_s,end_segment_s,start_segment_frame,end_segment_frame,gaze_0_y,gaze_1_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,p_scale,p_rx,p_ry,p_rz,p_tx,p_ty,AU01_r,AU02_r,AU04_r,AU06_r,AU07_r,AU12_r,AU14_r,AU23_r,AU26_r,AU01_c,AU04_c,AU05_c,AU06_c,AU07_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU23_c,AU25_c,AU26_c,eyebrow_raise,frown
AndyWoodhull2,83,84,1,64,83,1921,2490,0.047621924,0.050664297,58.83113362,12.23560508,13.8942987,0.127557574,0.379876864,0.120315923,0.048310622,0.124921392,0.403956724,0.123305582,112.4256609,23.15796653,0.408711938,0.117170764,0.266669217,0.18774455,0.530517436,0.573051877,0.691945554,0.240852989,0.681435022,0.333333333,0.312280702,0.057894737,0.273684211,0.333333333,0.405263158,0.280701754,0.59122807,0.163157895,0.559649123,0.038596491,0.370175439,0.301754386,0.061480529,0.210286262
AndyWoodhull2,88,89,1,84,88,2521,2640,0.033395259,0.031083025,29.89610305,6.071662735,20.93394348,0.048683863,0.058753217,0.06212416,0.082579886,0.046305942,0.054843775,0.065109973,48.91880432,11.35419361,0.542369688,0.101367581,1.456903,0.527346187,0.700295622,0.05238455,0.131135863,0.563248647,2.551950294,0.358333333,0.958333333,0.108333333,0.033333333,0.825,0.75,0,0,0.2,0.791666667,0,0.658333333,0.708333333,0.04534536,0.060371837
AndyWoodhull2,100,102,1,89,100,2671,3000,0.037755405,0.038501424,56.76329862,9.182373784,10.10947393,0.110935691,0.349074748,0.064827651,0.031885601,0.109727302,0.371349589,0.066298872,104.2567792,16.91104738,0.692709541,0.250038361,0.1300422,0.124702994,0.450304378,0.421427165,0.470517178,0.203600316,0.444561201,0.584848485,0.13030303,0.124242424,0.063636364,0.087878788,0.224242424,0.148484848,0.475757576,0.148484848,0.657575758,0.045454545,0.327272727,0.275757576,0.075067976,0.209685773
AndyWoodhull2,120,121,1,102,120,3061,3600,0.045095337,0.042685699,71.65120284,8.210693089,9.354413577,0.092557967,0.391910711,0.065311785,0.037181726,0.09340135,0.416756687,0.066836039,134.9109087,15.18801396,0.639604882,0.214626749,0.176191659,0.086578087,0.445591607,0.400632863,0.465441274,0.171822868,0.627804135,0.47962963,0.255555556,0.048148148,0.114814815,0.092592593,0.340740741,0.201851852,0.47037037,0.140740741,0.509259259,0.009259259,0.307407407,0.355555556,0.057729801,0.202010868
AndyWoodhull2,128,130,1,121,128,3631,3840,0.05054398,0.046738138,63.57547633,6.875659463,10.07970154,0.069708385,0.36252679,0.08258326,0.026719863,0.072507305,0.381270638,0.083820043,116.0660026,12.53962326,0.587932458,0.231454503,0.248843583,0.303347052,0.740040108,0.764307221,0.68366443,0.244354313,0.456692713,0.352380952,0.171428571,0.09047619,0.319047619,0.304761905,0.247619048,0.414285714,0.580952381,0.161904762,0.657142857,0.104761905,0.338095238,0.171428571,0.06360729,0.226685096
AndyWoodhull2,132,133,1,130,132,3901,3960,0.055048981,0.041337176,26.90343327,9.069175009,11.81361976,0.085924168,0.233741561,0.081273884,0.035619982,0.089429248,0.243774467,0.081356977,45.25952407,16.39342167,0.242980453,0.154715357,0.615261051,0.563096952,0.542066395,0.581560226,1.294181547,0.326411988,0.9266853,0.05,0.533333333,0.183333333,0.566666667,0.733333333,0.783333333,0.233333333,0.966666667,0.25,1,0.066666667,0.316666667,0.2,0.081456003,0.20887848
AndyWoodhull2,136,137,1,133,136,3991,4080,0.056560371,0.040417852,23.95272571,12.99347082,9.437330489,0.115352818,0.151108624,0.065839519,0.02678575,0.113019727,0.149368428,0.069020909,39.96231741,23.27925386,0.13347358,0.027858033,0.820334298,0.33342752,0.5585128,0.201592204,0.966536657,0.331820979,1.141459727,0,0.588888889,0,0.177777778,0.922222222,0.822222222,0.055555556,0.633333333,0.422222222,1,0.022222222,0.177777778,0.355555556,0.052088526,0.144266292
AndyWoodhull2,142,143,1,137,142,4111,4260,0.063120563,0.043707737,39.37229837,7.846682049,10.11649653,0.092532801,0.34697985,0.053144912,0.043332462,0.08673997,0.375307833,0.055134827,74.57783688,14.9080495,0.046650914,0.01216896,0.379543728,0.312062913,0.669034915,0.463650751,0.678349148,0.461975742,1.085651792,0,0.433333333,0,0.233333333,0.5,0.44,0.213333333,0.58,0.44,1,0.006666667,0.26,0.58,0.053359894,0.195963613
AndyWoodhull2,152,153,1,143,152,4291,4560,0.062673364,0.052248847,63.14326113,8.479313634,9.902567032,0.072145759,0.373472565,0.066920165,0.041134683,0.074118485,0.397648287,0.068386618,117.2431206,15.56250562,0.138754372,0.058839208,0.410573586,0.168401997,0.280348566,0.267108767,0.754917977,0.491978223,0.697313289,0.092592593,0.281481481,0.096296296,0.125925926,0.474074074,0.42962963,0.166666667,0.62962963,0.433333333,0.803703704,0.081481481,0.237037037,0.255555556,0.084164481,0.227247332
AndyWoodhull2,159,160,1,153,159,4591,4770,0.046340622,0.048171654,54.80773268,11.00416002,16.38197749,0.090116228,0.362557371,0.08282334,0.081782616,0.089594295,0.386175083,0.083828662,105.9202001,21.81442079,0.124450449,0.019356757,0.318147528,0.437342282,0.443632703,0.445845305,0.645389247,0.720859636,0.89000955,0.238888889,0.344444444,0,0.3,0.361111111,0.272222222,0.188888889,0.477777778,0.588888889,0.966666667,0.116666667,0.088888889,0.344444444,0.059757206,0.176740796
AndyWoodhull2,163,170,1,160,163,4801,4890,0.056057607,0.038222828,43.06408946,11.15029412,7.519154643,0.10227438,0.259620533,0.048108635,0.029964658,0.096016573,0.276012605,0.049059463,82.18131321,21.24864567,0.003643924,0,0.052589108,0.241025144,0.478859726,0.677552614,0.49878147,0.752006856,0.353809092,0,0.244444444,0.222222222,0.444444444,0.222222222,0.311111111,0.466666667,0.744444444,0.111111111,0.888888889,0,0.366666667,0.055555556,0.039558479,0.102742544
